# TQE Heisenberg Fluctuation - WITH-LAW Scenario
# Run: TQE_Heisenberg_Fluctuation_20251101_054309
# Timestamp: 20251101_054309
# Master Seed: 1964260773
# N_Ensemble: 100
# Reproducibility: Set MASTER_CTRL['SEED']=1964260773 to reproduce this run
time,mean_energy,std_energy,mean_entropy,mean_coherence,mean_uncertainty,std_uncertainty,mean_delta_x
8.147157190635452295e+00,7.635161640319313214e+00,2.505030335154394550e+00,2.196375471139596858e+00,8.123898393936717505e-03,2.291168683648244109e+00,1.714437623667702804e+00,1.327387735790639400e+00
8.187290969899665427e+00,7.636208018935211506e+00,2.503550024036572008e+00,2.199510315446956632e+00,8.125068742805004185e-03,2.294906980524173523e+00,1.711703695249156221e+00,1.329061658844375993e+00
8.227424749163880335e+00,7.637141016044981967e+00,2.502055129975287784e+00,2.202636997011594211e+00,8.124862743986166133e-03,2.298899782813854209e+00,1.709111324291206380e+00,1.330996848099529783e+00
8.267558528428093467e+00,7.637913552999182620e+00,2.500540436752853868e+00,2.205767706140809636e+00,8.123115184572499842e-03,2.303128655523194457e+00,1.706656957172332456e+00,1.333188882271149289e+00
8.307692307692308376e+00,7.638481430762277924e+00,2.499001865568929226e+00,2.208884098243760530e+00,8.119653650705440165e-03,2.307563462330106674e+00,1.704327105758856709e+00,1.335629468374941009e+00
8.347826086956521507e+00,7.638803501935415241e+00,2.497435983223726286e+00,2.211996308790594501e+00,8.114338283415999456e-03,2.312163504060348984e+00,1.702099670452618563e+00,1.338306377653781354e+00
8.387959866220736416e+00,7.638841786540552015e+00,2.495839520161494463e+00,2.215099072924092027e+00,8.106996571426721906e-03,2.316878840564106312e+00,1.699945754957219446e+00,1.341203436888390499e+00
8.428093645484949548e+00,7.638561562604365918e+00,2.494208964492302005e+00,2.218195492210881969e+00,8.097640821692612956e-03,2.321651982993288676e+00,1.697831910086794904e+00,1.344300651934357438e+00
8.468227424749164456e+00,7.637931433051107888e+00,2.492540245647742125e+00,2.221283235363125108e+00,8.086310578699868606e-03,2.326419977770500580e+00,1.695722713979252116e+00,1.347574488810377336e+00
8.508361204013377588e+00,7.636923397482166642e+00,2.490828562947184466e+00,2.224363170458168781e+00,8.073050084736891133e-03,2.331116980177284859e+00,1.693583560172063240e+00,1.350998351600472436e+00
8.548494983277592496e+00,7.635512936805548989e+00,2.489068362903247955e+00,2.227434778938942372e+00,8.057784223855246966e-03,2.335677327392687630e+00,1.691383332411037888e+00,1.354543185517539383e+00
8.588628762541805628e+00,7.633679122069667145e+00,2.487253453702978678e+00,2.230499963879494008e+00,8.040598627015027935e-03,2.340039010580300172e+00,1.689096804026420706e+00,1.358178273116698920e+00
8.628762541806020536e+00,7.631404732335614227e+00,2.485377239178397257e+00,2.233557349857931751e+00,8.021768997845025659e-03,2.344147303129820337e+00,1.686706427477489223e+00,1.361872074553407197e+00
8.668896321070233668e+00,7.628676385901770551e+00,2.483433051723732188e+00,2.236604625239395627e+00,8.001304355290990086e-03,2.347958303939361002e+00,1.684203419951818326e+00,1.365593110270569177e+00
8.709030100334448576e+00,7.625484671425720506e+00,2.481414534330460775e+00,2.239644370792909456e+00,7.979519063837377246e-03,2.351442033501794704e+00,1.681588051982544796e+00,1.369310792274160304e+00
8.749163879598661708e+00,7.621824250974194470e+00,2.479316043757926025e+00,2.242675720371946291e+00,7.956348607969032996e-03,2.354584775181472800e+00,1.678869204291776773e+00,1.372996166648810856e+00
8.789297658862876617e+00,7.617693946379244352e+00,2.477133041519556489e+00,2.245698247306960216e+00,7.932052167425845957e-03,2.357390485973736904e+00,1.676063409658882675e+00,1.376622508166909675e+00
8.829431438127089748e+00,7.613096769263364649e+00,2.474862411316671285e+00,2.248712073553761126e+00,7.906821639618911296e-03,2.359881089999945836e+00,1.673193569587420049e+00,1.380165744766547187e+00
8.869565217391304657e+00,7.608039882935453413e+00,2.472502683439667504e+00,2.251715069342111963e+00,7.880996143677704638e-03,2.362095679598408715e+00,1.670287620417064689e+00,1.383604734261684621e+00
8.909698996655517789e+00,7.602534501824041335e+00,2.470054145577079918e+00,2.254709218129097970e+00,7.854567025364394411e-03,2.364088733930086228e+00,1.667377350904316824e+00,1.386921366386960175e+00
8.949832775919732697e+00,7.596595722751914970e+00,2.467518824406653266e+00,2.257693763567657275e+00,7.827806212784862300e-03,2.365927473916873414e+00,1.664497474300396851e+00,1.390100515362300948e+00
8.989966555183947605e+00,7.591950103166633212e+00,2.465701050133597416e+00,2.259916845258907792e+00,7.807246783456249853e-03,2.367189096768059109e+00,1.662368165397674735e+00,1.392386390256877826e+00
9.030100334448160737e+00,7.585396780979951181e+00,2.463196105002277481e+00,2.262869695147469162e+00,7.779284756621968229e-03,2.368866696367263547e+00,1.659612828227551518e+00,1.395295882061000636e+00
9.070234113712375645e+00,7.578454907106152660e+00,2.460603286166506809e+00,2.265817803484243331e+00,7.750624163106243150e-03,2.370625254563794471e+00,1.656996916877363057e+00,1.398041365759905341e+00
9.110367892976588777e+00,7.571151405043412552e+00,2.457929145350060907e+00,2.268754233524441499e+00,7.721362018500667855e-03,2.372552599078963542e+00,1.654566160816102416e+00,1.400616780858036536e+00
9.150501672240803686e+00,7.563516022886975776e+00,2.455181273962497634e+00,2.271682253481278391e+00,7.691555797063705929e-03,2.374731549604057079e+00,1.652364208083020536e+00,1.403017558845161217e+00
9.190635451505016817e+00,7.555581008280150890e+00,2.452368098771172900e+00,2.274599798235269699e+00,7.661340759870975160e-03,2.377236577029868680e+00,1.650430949972147676e+00,1.405240260520422835e+00
9.230769230769231726e+00,7.547380761541190530e+00,2.449498628499198194e+00,2.277508251677627715e+00,7.630835356524487759e-03,2.380131092789790515e+00,1.648801757624354325e+00,1.407282172448809154e+00
9.270903010033444858e+00,7.538951511094215796e+00,2.446582266530961114e+00,2.280410703619621060e+00,7.600051790004383988e-03,2.383465268053202024e+00,1.647506279518209382e+00,1.409140986952996055e+00
9.311036789297659766e+00,7.530330988418231897e+00,2.443628613933635396e+00,2.283297287118944752e+00,7.568940302056645017e-03,2.387274301111266261e+00,1.646567158707377576e+00,1.410814497088592745e+00
9.351170568561872898e+00,7.521558105183101972e+00,2.440647311458963298e+00,2.286176808687671258e+00,7.537693162010428334e-03,2.391577276849711442e+00,1.645998554190114094e+00,1.412300418665882962e+00
9.391304347826087806e+00,7.512672642562367997e+00,2.437647909393530377e+00,2.289041871110317761e+00,7.506281199707611623e-03,2.396376546793629547e+00,1.645804543039711909e+00,1.413596269324543853e+00
9.431438127090300938e+00,7.503714920710153891e+00,2.434639737263977199e+00,2.291899135688694855e+00,7.474670700191093572e-03,2.401657746484853195e+00,1.645977563328262061e+00,1.414699414044427117e+00
9.471571906354515846e+00,7.494725476945131248e+00,2.431631798612431172e+00,2.294740809733163633e+00,7.442933800545063067e-03,2.407390446622336810e+00,1.646497320248763829e+00,1.415607202513668783e+00
9.511705685618728978e+00,7.485744729570978251e+00,2.428632645726037875e+00,2.297573678408658004e+00,7.411391336210159352e-03,2.413529450080853067e+00,1.647330396707079148e+00,1.416317217209321244e+00
